,0
0,7.01350736618042
1,6.970923900604248
2,6.92757511138916
3,6.883411407470703
4,6.839387893676758
5,6.795648097991943
6,6.75027322769165
7,6.702423095703125
8,6.651496410369873
9,6.597019672393799
10,6.538421154022217
11,6.474761486053467
12,6.405134201049805
13,6.328469276428223
14,6.2435760498046875
15,6.149237632751465
16,6.044259548187256
17,5.927197456359863
18,5.7958903312683105
19,5.647380828857422
20,5.477816104888916
21,5.284479141235352
22,5.064600944519043
23,4.821788311004639
24,4.551332473754883
25,4.251104354858398
26,3.925246477127075
27,3.5691146850585938
28,3.184458017349243
29,2.776151418685913
30,2.3532378673553467
31,1.929654836654663
32,1.5272456407546997
33,1.1790271997451782
34,0.9301773309707642
35,0.8229585886001587
36,0.8855336904525757
37,1.0716956853866577
38,1.2564305067062378
39,1.3263916969299316
40,1.2594900131225586
41,1.1023038625717163
42,0.9184909462928772
43,0.7585557699203491
44,0.6484794020652771
45,0.5925185680389404
46,0.5800207853317261
47,0.5935930013656616
48,0.6159722208976746
49,0.6336811780929565
50,0.638416588306427
51,0.6268389821052551
52,0.5990793704986572
53,0.5584138631820679
54,0.5105344653129578
55,0.46174654364585876
56,0.41821053624153137
57,0.38481205701828003
58,0.3639109134674072
59,0.35438501834869385
60,0.35150474309921265
61,0.34849783778190613
62,0.3397788107395172
63,0.3236507475376129
64,0.30176153779029846
65,0.27832576632499695
66,0.25813359022140503
67,0.24452275037765503
68,0.23809808492660522
69,0.2365795373916626
70,0.23592516779899597
71,0.23259010910987854
72,0.22543224692344666
73,0.2159200757741928
74,0.20689243078231812
75,0.2009035348892212
76,0.19892536103725433
77,0.19991521537303925
78,0.20153996348381042
79,0.20167210698127747
80,0.19907957315444946
81,0.19557462632656097
82,0.19287852942943573
83,0.19234000146389008
84,0.1935432255268097
85,0.19478805363178253
86,0.19459004700183868
87,0.192952960729599
88,0.19086818397045135
89,0.18935291469097137
90,0.18873800337314606
91,0.1885799765586853
92,0.18815846741199493
93,0.18706858158111572
94,0.18545250594615936
95,0.18380452692508698
96,0.18256732821464539
97,0.18183618783950806
98,0.181355819106102
99,0.18075625598430634
100,0.1798519641160965
101,0.17875266075134277
102,0.177729070186615
103,0.17698609828948975
104,0.17652590572834015
105,0.17618073523044586
106,0.17576219141483307
